version	count	date
v1.18.7-rc.0	100	2020-07-15 16:50:13 +0000
v1.18.8	100	2020-08-13 16:03:25 +0000
v1.18.8-rc.0	100	2020-08-12 20:18:35 +0000
v1.18.8-rc.1	100	2020-08-12 19:26:14 -0700
v1.18.9	100	2020-09-16 13:46:48 +0000
v1.18.9-rc.0	100	2020-08-13 16:03:26 +0000
v1.19.0	106	2020-08-26 14:22:05 +0000
v1.19.0-alpha.0	94	2020-02-18 07:35:29 -0800
v1.19.0-alpha.1	100	2020-03-25 16:34:25 -0700
v1.19.0-alpha.2	98	2020-04-21 09:18:59 -0700
v1.19.0-alpha.3	98	2020-05-05 05:59:08 -0700
v1.19.0-beta.0	98	2020-05-19 00:51:40 -0700
v1.19.0-beta.1	97	2020-06-03 19:20:43 -0700
v1.19.0-beta.2	97	2020-06-12 02:24:35 -0700
v1.19.0-rc.0	103	2020-07-09 20:21:50 +0000
v1.19.0-rc.1	104	2020-07-14 15:03:52 +0000
v1.19.0-rc.2	105	2020-07-21 17:31:21 +0000
v1.19.0-rc.3	106	2020-07-29 08:35:52 +0000
v1.19.0-rc.4	106	2020-08-04 14:20:48 +0000
v1.19.1	106	2020-09-09 11:17:20 +0000
v1.19.1-rc.0	106	2020-08-26 14:22:05 +0000
v1.19.10	106	2021-04-15 03:19:31 +0000
v1.19.10-rc.0	106	2021-03-18 00:59:06 +0000
v1.19.11	106	2021-05-12 12:18:29 +0000
v1.19.11-rc.0	106	2021-04-15 03:19:32 +0000
v1.19.12	106	2021-06-16 12:51:51 +0000
v1.19.12-rc.0	106	2021-05-12 12:18:30 +0000
v1.19.13	106	2021-07-15 20:52:27 +0000
v1.19.13-rc.0	106	2021-06-16 12:51:51 +0000
v1.19.14	106	2021-08-11 18:01:23 +0000
v1.19.14-rc.0	106	2021-07-15 20:52:27 +0000
v1.19.15	106	2021-09-15 19:17:05 +0000
v1.19.15-rc.0	106	2021-08-11 18:01:23 +0000
v1.19.16	106	2021-10-27 16:19:16 +0000
v1.19.16-rc.0	106	2021-09-15 19:17:05 +0000
v1.19.17-rc.0	106	2021-10-27 16:19:16 +0000
v1.19.2	106	2020-09-16 13:31:56 +0000
v1.19.2-rc.0	106	2020-09-09 11:17:21 +0000
v1.19.3	106	2020-10-14 12:39:37 +0000
v1.19.3-rc.0	106	2020-09-16 13:31:56 +0000
v1.19.4	106	2020-11-11 13:08:20 +0000
v1.19.4-rc.0	106	2020-10-14 12:39:37 +0000
v1.19.5	106	2020-12-04 06:47:59 -0800
v1.19.5-rc.0	106	2020-11-11 13:08:21 +0000
v1.19.6	106	2020-12-18 12:00:42 +0000
v1.19.6-rc.0	106	2020-12-04 06:47:59 -0800
v1.19.6-rc.1	106	2020-12-09 12:05:20 +0000
v1.19.7	106	2021-01-13 13:14:25 +0000
v1.19.7-rc.0	106	2020-12-18 12:00:42 +0000
v1.19.8	106	2021-02-17 12:32:07 +0000
v1.19.8-rc.0	106	2021-01-13 13:14:26 +0000
