project	toggle	date
gitlab	p_ci_workload_variable_inclusions	
gitlab	deployment_clusters	
gitlab	packages_debian_file_metadata	
gitlab	status_check_responses	
gitlab	import_placeholder_user_details	
gitlab	packages_conan_file_metadata	
gitlab	feature_gates	
gitlab	keys	
gitlab	group_wiki_repositories	
gitlab	p_ci_job_inputs	
gitlab	oauth_applications	
gitlab	virtual_registries_packages_maven_cache_entries	
gitlab	plan_limits	
gitlab	geo_cache_invalidation_events	
gitlab	personal_access_tokens	
gitlab	pm_cve_enrichment	
gitlab	gpg_key_subkeys	
gitlab	schema_migrations	
gitlab	virtual_registries_packages_maven_registries	
gitlab	merge_request_assignment_events	
gitlab	description_versions	
gitlab	group_type_ci_runner_machines	
gitlab	incident_management_oncall_participants	
gitlab	dast_scanner_profiles	
gitlab	board_user_preferences	
gitlab	packages_npm_metadata	
gitlab	batched_background_migrations	
gitlab	ai_user_metrics	
gitlab	import_failures	
gitlab	zoekt_enabled_namespaces	
gitlab	ci_pipeline_schedule_inputs	
gitlab	cluster_agents	
gitlab	incident_management_oncall_schedules	
gitlab	ai_catalog_item_version_dependencies	
gitlab	postgres_reindex_actions	
gitlab	ci_build_trace_chunks	
gitlab	protected_tag_create_access_levels	
gitlab	security_orchestration_policy_rule_schedules	
gitlab	security_training_providers	
gitlab	merge_request_diffs	
gitlab	ci_builds_runner_session	
gitlab	application_setting_terms	
gitlab	scan_execution_policy_rules	
gitlab	project_alerting_settings	
gitlab	backup_vulnerability_severity_overrides	
gitlab	user_project_member_roles	
gitlab	ai_active_context_collections	
gitlab	group_saved_replies	
gitlab	virtual_registries_container_registry_upstreams	
gitlab	custom_field_select_options	
gitlab	design_management_designs_versions	
gitlab	sprints	
gitlab	snippet_user_mentions	
gitlab	analytics_language_trend_repository_languages	
gitlab	programming_languages	
gitlab	ci_project_mirrors	
gitlab	analyzer_namespace_statuses	
gitlab	incident_management_timeline_event_tag_links	
gitlab	namespace_import_users	
gitlab	work_item_progresses	
gitlab	workspace_tokens	
gitlab	system_access_instance_microsoft_graph_access_tokens	
gitlab	projects	
gitlab	boards_epic_board_positions	
gitlab	incident_management_timeline_events	
gitlab	project_export_jobs	
gitlab	x509_certificates	
gitlab	ci_sources_projects	
gitlab	merge_request_approval_metrics	
gitlab	postgres_async_indexes	
gitlab	security_policy_settings	
gitlab	organization_users	
gitlab	ci_job_artifact_states	
gitlab	p_ci_job_messages	
gitlab	approval_policy_rules	
gitlab	board_assignees	
gitlab	namespace_admin_notes	
gitlab	vulnerability_finding_signatures	
gitlab	pm_packages	
gitlab	label_priorities	
gitlab	project_compliance_framework_settings	
gitlab	jira_connect_installations	
gitlab	error_tracking_error_events	
gitlab	cluster_providers_gcp	
gitlab	user_phone_number_validations	
gitlab	project_states	
gitlab	status_page_published_incidents	
gitlab	p_knowledge_graph_tasks	
gitlab	ci_runner_taggings	
gitlab	security_pipeline_execution_policy_config_links	
gitlab	packages_helm_metadata_caches	
gitlab	p_ci_finished_build_ch_sync_events	
gitlab	alert_management_alert_user_mentions	
gitlab	alert_management_alert_assignees	
gitlab	scan_result_policy_violations	
gitlab	project_auto_devops	
gitlab	protected_tags	
gitlab	lists	
gitlab	analytics_usage_trends_measurements	
gitlab	operations_scopes	
gitlab	coverage_fuzzing_corpuses	
gitlab	elasticsearch_indexed_projects	
gitlab	slack_api_scopes	
gitlab	abuse_report_notes	
gitlab	ml_model_version_metadata	
gitlab	group_group_links	
gitlab	spam_logs	
gitlab	elastic_group_index_statuses	
gitlab	workspaces	
gitlab	issuable_slas	
gitlab	cluster_platforms_kubernetes	
gitlab	bulk_import_entities	
gitlab	external_status_checks	
gitlab	dependency_proxy_manifests	
gitlab	issue_search_data	
gitlab	issues	
gitlab	boards	
gitlab	bulk_import_configurations	
gitlab	projects_with_pipeline_variables	
gitlab	ml_models	
gitlab	repository_languages	
gitlab	abuse_report_labels	
gitlab	catalog_resource_versions	
gitlab	wiki_repository_states	
gitlab	p_ci_finished_pipeline_ch_sync_events	
gitlab	onboarding_progresses	
gitlab	agent_project_authorizations	
gitlab	elasticsearch_indexed_namespaces	
gitlab	scim_group_memberships	
gitlab	fork_network_members	
gitlab	project_custom_attributes	
gitlab	incident_management_escalation_policies	
gitlab	badges	
gitlab	personal_access_token_last_used_ips	
gitlab	agent_user_access_project_authorizations	
gitlab	list_user_preferences	
gitlab	instance_audit_events	
gitlab	virtual_registries_cleanup_policies	
gitlab	snippet_repository_states	
gitlab	status_page_settings	
gitlab	import_source_user_placeholder_references	
gitlab	issue_assignment_events	
gitlab	boards_epic_boards	
gitlab	ci_minutes_additional_packs	
gitlab	dast_profiles_tags	
gitlab	container_registry_protection_rules	
gitlab	achievement_uploads	
gitlab	analytics_cycle_analytics_issue_stage_events	
gitlab	group_crm_settings	
gitlab	import_placeholder_memberships	
gitlab	chat_names	
gitlab	dast_pre_scan_verification_steps	
gitlab	abuse_events	
gitlab	packages_protection_rules	
gitlab	virtual_registries_container_upstreams	
gitlab	ai_catalog_item_versions	
gitlab	scan_result_policies	
gitlab	security_policies	
gitlab	operations_strategies	
gitlab	cluster_groups	
gitlab	merge_request_diff_commits	
gitlab	geo_node_namespace_links	
gitlab	aws_roles	
gitlab	merge_requests_approval_rules	
gitlab	vulnerabilities	
gitlab	sbom_sources	
gitlab	virtual_registries_packages_maven_registry_upstreams	
gitlab	user_follow_users	
gitlab	namespace_statistics	
gitlab	ci_runner_projects	
gitlab	p_ci_builds_metadata	
gitlab	catalog_resource_component_last_usages	
gitlab	project_security_exclusions	
gitlab	incident_management_timeline_event_tags	
gitlab	group_merge_request_approval_settings	
gitlab	resource_iteration_events	
gitlab	ar_internal_metadata	
gitlab	dependency_proxy_blobs	
gitlab	work_item_widget_definitions	
gitlab	packages_debian_project_architectures	
gitlab	clusters_integration_prometheus	
gitlab	boards_epic_list_user_preferences	
gitlab	snippet_uploads	
gitlab	geo_node_organization_links	
gitlab	approval_group_rules_protected_branches	
gitlab	redirect_routes	
gitlab	service_access_tokens	
gitlab	audit_events_streaming_headers	
gitlab	resource_weight_events	
gitlab	ci_secure_file_states	
gitlab	packages_rubygems_metadata	
gitlab	merge_request_diff_commit_users	
gitlab	sbom_graph_paths	
gitlab	analytics_cycle_analytics_merge_request_stage_events	
gitlab	cloud_connector_access	
gitlab	merge_request_assignees	
gitlab	gpg_signatures	
gitlab	dependency_proxy_blob_states	
gitlab	packages_cleanup_policies	
gitlab	trending_projects	
gitlab	jira_connect_subscriptions	
gitlab	push_rules	
gitlab	ai_conversation_messages	
gitlab	workspaces_agent_configs	
gitlab	system_access_group_microsoft_applications	
gitlab	project_authorizations	
